緯度,経度,事業者名,路線名,駅名,件数
35.439705,139.62256,京浜急行電鉄,京浜急行本線,黄金町,23084
35.41586,139.636095,東日本旅客鉄道,京浜東北・根岸線,根岸,37686
34.849825,135.623145,阪急電鉄,京都本線,高槻市,64493
34.83516,135.59271,阪急電鉄,京都本線,富田,18535
35.51049370737,139.63130751549,東急電鉄,東横線,菊名,67890
35.536815,139.634795,東急電鉄,東横線,綱島,111876
35.85411,139.795425,東武鉄道,伊勢崎線（１）,新田,27815
35.82838,139.803455,東武鉄道,伊勢崎線（１）,草加,87640
35.717325,139.76575,東京地下鉄,千代田線,根津,32207
35.6590924888131,139.702569622322,東京地下鉄,銀座線,渋谷,265441
35.6590924888131,139.702569622322,東急電鉄,東横線,渋谷,386295
35.3799,136.945535,名古屋鉄道,小牧線,犬山,11200
35.17044,136.88387,名古屋鉄道,名古屋本線,名鉄名古屋,159037
34.7645476417741,135.50897505559,阪急電鉄,千里線,豊津,18409
34.705615,135.498585,阪急電鉄,神戸本線,大阪梅田,372928
35.2062567322464,136.95037026441,東海旅客鉄道,中央本線,新守山,8937
35.1713122996301,136.882199378289,東海旅客鉄道,東海道新幹線,名古屋,147623
35.63341,139.535935,東日本旅客鉄道,南武線,稲田堤,22470
35.697535,139.414305,東日本旅客鉄道,中央本線,立川,319513
35.56351,139.46344,小田急電鉄,小田原線,玉川学園前,42753
35.6585335866331,139.699749334556,京王電鉄,井の頭線,渋谷,185096
35.6645619687544,139.85960016266,東京地下鉄,東西線,西葛西,106046
35.7118359292102,139.775624742036,東京地下鉄,銀座線,上野,118208
35.707195,139.774715,東日本旅客鉄道,京浜東北・根岸線,御徒町,134449
35.67504,139.76326,東日本旅客鉄道,京浜東北・根岸線,有楽町,257727
35.686745,139.764905,東京地下鉄,丸ノ内線（１）,大手町,349564
35.45666,139.61956,京浜急行電鉄,京浜急行本線,戸部,18532
35.46625,139.623125,京浜急行電鉄,京浜急行本線,横浜,153129
34.815108265733,135.562090999003,西日本旅客鉄道,東海道本線,茨木,77881
34.8285201139431,135.57767477445,西日本旅客鉄道,東海道本線,ＪＲ総持寺,15408
34.6490876283453,134.992684746917,西日本旅客鉄道,山陽本線,明石,62004
34.694795,135.19504,西日本旅客鉄道,東海道本線,三ノ宮,186695
